IDD;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;Einheitstitel;Alternativtitel;Umfang;Format;Sprache;Anmerkung;USTC_Subject;Verfasser_a;GND_a;Titel_a;Verfasser_b;GND_b;Titel_b;Verfasser_c;GND_c;Titel_c;anmerkung_ort;Druckort;gnd_Ort;Land;gnd_Land;anmerkung_ort_b;Druckort_b;gnd_Ort_b;Land_b;gnd_Land_b
IDD-328;M19776;im00015000;M-7;null;null;993419;null;Dissuasoria ne christiani principes ecclesiasticos usurpent census. Prelim: Domitius Calderinus: Epistola ad Jacobum Card. Papiensem. Hermolaus Barbarus: Epistola ad Celsum Maffeum. C. Maffeus: Quaestio an aliqua res publica possit conducere Judaeos ad fo;null;ff. (36);4°;Latein;"Sammelwerk; Signaturen a-d8 e4";Religious;Celsus Maffeus;121102726;Dissuasoria ne christiani principes ecclesiasticos usurpent census. Prelim: Domitius Calderinus: Epistola ad Jacobum Card. Papiensem. Hermolaus Barbarus: Epistola ad Celsum Maffeum;null;null;null;null;null;null;null;Bologna;4007616-7;Italien;XA-IT;null;null;null;null;null
IDD-329;M18706;il00280000;null;null;null;993526;?;Oratio Passionis dominicae coram Innocentio VIII habita contra Judaeorum perfidiam (USTC);null;ff. 12;4°;Latein;null;Religious;Antonius Lollius;102558884;Oratio Passionis dominicae coram Innocentio VIII habita contra Judaeorum perfidiam (USTC);null;null;null;null;null;null;null;Rom;4050471-2;Italien;XA-IT;null;null;null;null;null
IDD-330;M18706;il00279000;L-224;null;null;993527;?;Oratio Passionis dominicae coram Innocentio VIII habita contra Judaeorum perfidiam (USTC);null;ff. 12;4°;Latein;null;Religious;Antonius Lollius;102558884;Oratio Passionis dominicae coram Innocentio VIII habita contra Judaeorum perfidiam (USTC);null;null;null;null;null;null;null;Rom;4050471-2;Italien;XA-IT;null;null;null;null;null
IDD-331;M16478;ik00040900;null;null;null;993710;null;(1) Gedicht von dem getöteten Knaben Simon von Trient (ISTC) (2) Lied bzw. Reimlegende von Simon von Trient (GW);null;ff. 8;4°;Deutsch;betrifft den Ritualmord an Simon von Trient.;Religious;Matheus Künig, Matthäus Künig;136588840;(1) Gedicht von dem getöteten Knaben Simon von Trient (ISTC) (2) Lied bzw. Reimlegende von Simon von Trient (GW);null;null;null;null;null;null;?;Sant'Orso;4219914-1;Italien;XA-IT;null;null;null;null;null
IDD-332;M14813;ij00441000 .;I-598;null;null;993955;null;Oratio de veri Messiae adventu;null;ff. 10;2°;Latein;Signatur [a10];Religious;Johannes Treviensis;100949436);Oratio de veri Messiae adventu;null;null;null;null;null;null;null;Rom;4050471-2;Italien;XA-IT;null;null;null;null;null
IDD-333;M14294;ij00376000;null;null;null;993994;null;Prognosticon super Antichristi adventu Judaeorumque Messiae;null;ff. 12;4°;Latein;Signaturen [a-b6];Calendars and Prognostications;Johannes de Lübeck;12700534X;Prognosticon super Antichristi adventu Judaeorumque Messiae;null;null;null;null;null;null;null;Padua;4044295-0;Italien;XA-IT;null;null;null;null;null
IDD-334;M15275;ii00189000;I-625;null;null;994158;?;De fide catholica contra Judaeos;null;ff. [38];4°;Latein;Signaturen [a-d8 e6];Religious;Isidorus von Sevilla, Isidorus Hispalensis;118555995;De fide catholica contra Judaeos;null;null;null;null;null;null;null;Rom;4050471-2;Italien;XA-IT;null;null;null;null;null
IDD-335;11345;ig00353000;G-250;null;null;994655;Schreckenberg III (1994) 569-571;(1) Liber de confutatione hebrayce secte (2) De confutatione hebraicae sectae;null;ff. [168];4°;Latein;Signaturen [a4]ab6 c–x8;Religious;Johannes Baptista Gratia Dei , Giovanni Battista Graziadei;102487405;(1) Liber de confutatione hebrayce secte (2) De confutatione hebraicae sectae;null;null;null;null;null;null;null;Rom;4050471-2;Italien;XA-IT;null;null;null;null;null
IDD-336;9070;id00395000;D-320 ?;null;null;995147;Schreckenberg III (1994) 334-335;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;(1) Quodlibeta (USTC);ff. 116;4°;Latein;"fragliche Auflage: wirklich enthalten? Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;Johannes Duns Scotus;118528165;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-337;9082;id00386000;null;null;null;995155;Schreckenberg III (1994) 334-335;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in libr. III. Sententiarum;ff. [108];2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;Johannes Duns Scotus;118528165;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;null;null;null;null;null;null;null;Padua;4044295-0;Italien;XA-IT;null;null;null;null;null
IDD-338;9081;id00385000;null;null;null;995156;Schreckenberg III (1994) 334-335;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in libr. II. Sententiarum. Hrsg. Thomas Penketh;ff. [158];2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;Johannes Duns Scotus;118528165;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-339;9077;id00383000;D-307;null;null;995159;Schreckenberg III (1994) 334-335;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;null;ff. 138;2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334). Druck mit Privileg (Fulin 55).";[1] Religious. [2] Philosophy and Morality;Johannes Duns Scotus;118528165;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-340;9076;id00382000;D-306;null;null;995160;Schreckenberg III (1994) 334-335;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in quattuor libros Sententiarum cum textu Petri Lombardi;ff. 186;2°;Latein;"Druck mit Texten Petrus Lombardus (GND 11859334X). Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;Johannes Duns Scotus;118528165;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-341;9075;id00381000;D-320;null;null;995161;Schreckenberg III (1994) 334-335;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;(1) Quaestiones in quattuor libros Sententiarum Petri Lombardi (USTC). (2) Quodlibeta (USB Köln);ff. 282;4°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;Johannes Duns Scotus;118528165;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-342;9073;id00379000;(1) D-311 + (2) D-313 (4. Tl.);;;995162;Schreckenberg III (1994) 334-335;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in libr. IV. Sententiarum cum textu Petri Lombardi. Hrsg. Johannes Grillot und Antonius Capellus.;ff. 262;2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334). Mit Guillermus Vorilongus (GND 100944264), Vademecum super 1.IV Sententiarum";[1] Religious. [2] Philosophy and Morality;Johannes Duns Scotus;118528165;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-343;9080;id00375000;D-301;null;null;995163;Schreckenberg III (1994) 334-335;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in primum librum Sententiarum Petri Lombardi. Ed: Antonio Trombetta;ff. [248];2°;Latein;"Signaturen: [a-l10 m-n12 o-r10 s12 t-z10 A12]. Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;Johannes Duns Scotus;118528165;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-344;9079;id00374000;null;null;null;995164;Schreckenberg III (1994) 334-335;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in libr. I. Sententiarum. Korr. frater Rufinus OFM;ff. [224];2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;Johannes Duns Scotus;118528165;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-345;6389;ic00323000;null;null;null;996174;Schreckenberg III (1994) 399-400;Carmina. Tibullus: Elegiae. Propertius: Elegiae. Statius: Silvae. Johannes Calphurnius: Mors et apotheosis Simonis infantis novi martyris;null;ff. (149);2°;Latein;Signaturen ab8 c–e6 f–h8 i–l6 m8 no6 p8 q7 r–t6 ux8 y4. betrifft den Ritualmord an Simon von Trient, gedruckt mit Gaius Valerius Catullus (GND 118519719), Carmina. Tibullus (GND 11862251X), Elegiae. Propertius (GND 118596764), Elegiae. Statius (GND 118798502), Silvae. Hain 4760;Poetry;Johannes Calphurnius;123089573;Mors et apotheosis Simonis infantis novi martyris;null;null;null;null;null;null;null;Trient;4078405-8;Italien, Trentino-Südtirol;XA-IT-32;null;null;null;null;null
IDD-346;5659;ib01264000;B-951;null;null;996532;null;Victoria contra Judaeos;null;ff. 130;2°;Latein;Signaturen [4]a8 b–u6 x4;Religious;Petrus Brutus;103146962;Victoria contra Judaeos;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-347;5658;ib01263500;null;null;null;996533;null;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant. (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis. (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Epistola contra Judaeos;ff. 8;8°;Latein;Signaturen A8;Religious;Petrus Brutus;103146962;Epistola contra Judaeos;null;null;null;null;null;null;null;Vicenza;4063445-0;Italien;XA-IT;null;null;null;null;null
IDD-348;IV Sp.573a;ib01038000;null;null;null;996592;null;De christiana religione contra Hebraeos;null;null;4°;Latein;null;Religious;Antonio Borromeo;100050654;De christiana religione contra Hebraeos;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-349;4450;ib00728300;null;null;null;996789;Schreckenberg III (1994) 399-400;Decamerone;null;ff. 142;2°;Italienisch;"Signaturen X4 A8 Bc–y6 z4. GW: ""Davor: Hieronymus Squarzaficus: Vita di Boccaccio."" (GND 119836262), dazu keine Angaben in ISTC und USTC";Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-350;4449;ib00728000;null;null;null;996790;Schreckenberg III (1994) 399-400;Vita di Boccaccio;null;ff. (144);2°;Italienisch;"Signaturen (6)a8 b–y6 z4; Übersetzung ins Italienische; Hieronymus Squarzaficus: Vita di Boccaccio";Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-351;4448;ib00727000;null;null;null;996791;Schreckenberg III (1994) 399-400;Decamerone;null;ff. [138];2°;Latein;Signaturen a-q8 r10;Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-352;4447;ib00726500;null;null;null;996792;Schreckenberg III (1994) 399-400;Decamerone;null;ff. [308];2°;Italienisch;Signaturen (2 –4 )a8 b–?s–z&6 A–S8 T4.;Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Florenz;4017581-9;Italien;XA-IT;null;null;null;null;null
IDD-353;4446;ib00726000;null;null;null;996793;Schreckenberg III (1994) 399-400;Decamerone;null;ff. [194];2°;Italienisch;Signaturen [4]a10 b8 c6 d8 e6 f8 g6 h8 i6 k8 l6 m8 n6 o8 p6 q8 r6 ?8 t6 u8 x6 y8 z6 AB8 C10.;Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-354;4445;ib00725800;null;null;null;996794;Schreckenberg III (1994) 399-400;Decamerone;null;ff. [236];2°;Italienisch;Signaturen [6]a–f10 g–k8 lm6 n–q10 r–t6 u–zA8 BC10 D8.;Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Vicenza;4063445-0;Italien;XA-IT;null;null;null;null;null
IDD-355;4444;ib00725700;null;null;null;996795;Schreckenberg III (1994) 399-400;Decamerone;null;ff. [242];2°;Italienisch;null;Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Mailand;4037100-1;Italien;XA-IT;null;null;null;null;null
IDD-356;4443;ib00725600;null;null;null;996796;Schreckenberg III (1994) 399-400;Decamerone;null;ff. [222];2°;Latein;Signaturen [a6 b-f10 g-l8 m-n6 op8 q-s10 t-x8 y-z6 A-D8];Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Bologna;4007616-7;Italien;XA-IT;null;null;null;null;null
IDD-357;4442;ib00725400;null;null;null;996797;Schreckenberg III (1994) 399-400;Decamerone;null;ff. [264];2°;Italienisch;null;Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Mantua;4114978-6;Italien;XA-IT;null;null;null;null;null
IDD-358;4441;ib00725300;null;null;null;996798;Schreckenberg III (1994) 399-400;Decamerone;null;ff. [268];2°;Italienisch;Signaturen [a8 b-e10 f8 g-k10 l8 m-t10 v-x8 y-z10 A-D10 E8].;Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-359;4440;ib00725200;B-565;null;null;996799;Schreckenberg III (1994) 399-400;Decamerone;null;ff. 254;2°;Latein;null;Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;(1) Neapel? (USTC). (2) Florenz? (ISTC);Florenz;4017581-9;Italien;XA-IT;(1) Neapel? (USTC). (2) Florence? (ISTC);Neapel;4041476-0;Italien;XA-IT
IDD-360;3892;ib00354200;B-305;null;null;996952;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Speculum peccatorum de contemptu mundi;null;ff. 8;4°;Latein;Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - [Universität Münster] (1939) [ UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975];Religious;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Rom;4050471-2;Italien;XA-IT;null;null;null;null;null
IDD-361;3891;ib00354000;null;null;null;996953;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Speculum peccatorum de contemptu mundi;null;ff. 6;4°;Latein;Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - [Universität Münster] (1939) [ UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975];Religious;Bernhardin von Siena;11850987X;Speculum peccatorum de contemptu mundi;null;null;null;null;null;null;null;Rom;4050471-2;Italien;XA-IT;null;null;null;null;null
IDD-362;3890;ib00353000;B-303;null;null;996954;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Speculum peccatorum de contemptu mundi;null;ff. 8;4°;Latein;Signaturen A8. Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - [Universität Münster] (1939) [ UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975];Religious;Bernhardin von Siena;11850987X;Speculum peccatorum de contemptu mundi;null;null;null;null;null;null;null;Rom;4050471-2;Italien;XA-IT;null;null;null;null;null
IDD-363;3885;ib00348500;null;null;null;996955;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Sermone sopra l'epistola di San Paolo sul santissimo Sacramento;null;ff. 10;4°;Italienisch;Signaturen a10, Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - [Universität Münster] (1939) [ UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975];Religious;Bernhardin von Siena;11850987X;Speculum peccatorum de contemptu mundi;null;null;null;null;null;null;null;Treviso;4119702-1;Italien;XA-IT;null;null;null;null;null
IDD-364;III Sp.646a.;ib00344850;null;null;null;996956;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Della confessione;null;null;8°;Italienisch;Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - [Universität Münster] (1939) [ UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975];Religious;Bernhardin von Siena;11850987X;Sermone sopra l'epistola di San Paolo sul santissimo Sacramento;null;null;null;null;null;null;(1) Italien? (2) Florenz?;Florenz;4017581-9;Italien;XA-IT;(1) Italien ? (2) Florenz ?;null;null;Italien;XA-IT
IDD-365;3879;ib00344800;null;null;null;996957;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;"Della confessione. Michael Durrazinus de Emporio: Sermone della regolata lingua; Sermone di mercatanzia spirituale; Tommasuccio: Visione della festa di Ognissanti; Visione come Adamo venne in terra";null;ff. (44);4°;Italienisch;"Signaturen (ab)8 (cd)8 (ef)8 (ik)8 l4; Sammelwerk; daran: Michael Durrazinus de Emporio (GND ?), Sermone della regolata lingua; Sermone di mercatanzia spirituale; Tommasuccio (GND 1033027588), Visione della festa di Ognissanti; Visione come Adamo venne in terra. Judendfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975)";Religious;Bernhardin von Siena;11850987X;Della confessione;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
IDD-366;3880;ib00344700;null;null;null;996958;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Della confessione;Della confessione regole xii;ff. 12;4°;Italienisch;Signaturen a8 b4. Judendfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - [Universität Münster] (1939) [ UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975];Religious;Bernhardin von Siena;11850987X;Della confessione;null;null;null;null;null;null;null;Florenz;4017581-9;Italien;XA-IT;null;null;null;null;null
IDD-367;3878;ib00344000;null;null;null;996959;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Della confessione;Della confessione regole xii;ff. 14;8°;Italienisch;"ISTC: ""A different work from the longer tract Della confessione, with which it is confused in GW ( BMC VII 1107)"". Judendfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - [Universität Münster] (1939) [ UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975]";Religious;Bernhardin von Siena;11850987X;Della confessione;null;null;null;null;null;null;null;Siena;4054903-3;Italien;XA-IT;null;null;null;null;null
IDD-368;3877;ib00343900;null;null;null;996960;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Della confessione;Della confessione regole xii;ff. [20];4°;Italienisch;"ISTC: ""A different work from the longer tract Della confessione, with which it is confused in GW (BMC)"". Judendfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - [Universität Münster] (1939) [ UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975]";Religious;Bernhardin von Siena;11850987X;Della confessione;null;null;null;null;null;null;null;Pescia;4304125-5;Italien;XA-IT;null;null;null;null;null
IDD-369;3876;ib00343600;null;null;null;996961;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Vita di San Bernardino. Feo Belcari: Lauda;null;ff. 4;8°;Italienisch;"Signaturen (a4); Sammelwerk, daran: Feo Belcari (GND 100432212), Lauda. Judendfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975)";Religious;Bernhardin von Siena;11850987X;Della confessione;null;null;null;null;null;null;null;Florenz;4017581-9;Italien;XA-IT;null;null;null;null;null
IDD-370;2203;ia00883000;A-611;null;null;997616;Schreckenberg III (1994) 518;Trialogus super evangelio de duobus discipulis euntibus in Emmaus;;ff. 150;8°;Latein;Signaturen a-h8 i10 k-r8 s12;Religious;Bernhardin von Siena;11850987X;Vita di San Bernardino;null;null;null;null;null;null;null;Venedig;4062501-1;Italien;XA-IT;null;null;null;null;null
